company,location,fire,��ü �η� �� ���� ���� ����,industry,country,ai_bool
MediaMath,New York City,,100%,Marketing,,FALSE
Lunya,Los Angeles,,100%,Retail,United States,FALSE
Buzzer,New York City,,100%,Consumer,United States,FALSE
Navi Technologies,Bengaluru Non-U.S.,200,,Finance,India,FALSE
Amazon,Seattle,80,,Retail,United States,TRUE
Tempo Automation,SF Bay Area,62,,Other,United States,FALSE
Uber Freight,SF Bay Area,40,,Logistics,United States,FALSE
Deepwatch,Tampa Bay,30,7%,Security,United States,TRUE
Skill Lync,Chennai Non-U.S.,200,,Education,India,FALSE
Factorial,Barcelona Non-U.S.,20,,HR,Spain,FALSE
Centr,Sydney Non-U.S.,22,,Fitness,Australia,FALSE
SAS,Raleigh,,,Data,United States,TRUE
Netlify,SF Bay Area,,,Other,United States,FALSE
AudioCodes,Tel Aviv Non-U.S.,80,6%,Other,Israel,FALSE
Bark,New York City,,8%,Retail,United States,FALSE
Peloton,New York City,11,,Fitness,United States,FALSE
Khoros,Austin,,5%,Sales,,FALSE
PayScale,Seattle,14,2%,HR,United States,FALSE
Binance,Cayman Islands,1000,,Crypto,Cayman Islands,TRUE
Ezoic,San Diego,,28%,Infrastructu,,FALSE
Lamudi Indonesia,Jakarta Non-U.S.,,,Real Estate,Indonesia,FALSE
IBM,Tel Aviv Non-U.S.,,,Hardware,Israel,TRUE
Code42,Minneapolis,,,Security,United States,TRUE
Sarcos,Salt Lake City,75,25%,Aerospace,United States,FALSE
Microsoft,Seattle,1000,,Other,United States,TRUE
Square Roots,New York City,,,Food,United States,FALSE
Cameo,Chicago,80,,Consumer,United States,FALSE
Blue Apron,New York City,,20%,Food,United States,FALSE
Tilia,SF Bay Area,28,32%,Finance,United States,FALSE
Inspirato,Denver,50,6%,Travel,United States,FALSE
AgentSync,Denver,67,24%,Finance,United States,FALSE
Viaplay,Stockholm Non-U.S.,450,25%,Media,Sweden,FALSE
Stoa,Phoenix,80,80%,Real Estate,United States,FALSE
Dunzo,Bengaluru Non-U.S.,,,Food,India,FALSE
Phunware,Austin,,,Other,United States,FALSE
MiQ,London Non-U.S.,,,Marketing,,FALSE
Saarthi.ai,Bengaluru Non-U.S.,,,Support,India,TRUE
Bundle Africa,Lagos Non-U.S.,,100%,Crypto,Nigeria,TRUE
PathAI,Boston,87,,Healthcare,United States,TRUE
Onfido,London Non-U.S.,,,Finance,United Kingdo??False,FALSE
Arive,Munich Non-U.S.,,,Retail,Germany,FALSE
AppHarvest,Lexington,,100%,Food,United States,FALSE
Pluralsight,Salt Lake City,,,Education,United States,FALSE
Deep Instict,New York City,46,15%,Security,United States,TRUE
Ripl,Seattle,,,Marketing,United States,FALSE
Kleos Space,Luxembourg Raleigh,,100%,Aerospace,Luxembourg,FALSE
Myntra,Bengaluru Non-U.S.,50,,Retail,India,FALSE
Calendly,Atlanta,60,10%,Other,United States,FALSE
Figure,SF Bay Area,90,20%,Crypto,United States,TRUE
Copia,Nairobi Non-U.S.,350,25%,Retail,Kenya,FALSE
Wish,SF Bay Area,255,34%,Retail,United States,FALSE
